ID,Fault_Type,Phase,RMS_Voltage,Peak_Voltage,THD,Duration_ms,DWT_Energy_Level1,DWT_Energy_Level2,DWT_Entropy,Signal_Noise_Ratio_dB,Label
44,Swell,C,277.91,393.02,3.82,153.0,50.36,18.19,2.31,33.45,2.0
45,Transient,C,229.35,436.27,5.61,85.0,71.92,42.66,4.47,36.77,3.0
46,Harmonics,C,227.47,321.7,5.93,131.0,23.19,28.1,1.93,31.63,4.0
47,Harmonics,C,235.77,333.43,8.57,226.0,63.27,20.76,3.83,29.63,4.0
48,Transient,B,219.81,431.4,4.55,67.0,76.69,39.52,4.29,34.88,3.0
49,Swell,C,269.95,381.77,3.99,126.0,96.69,5.55,4.88,20.86,2.0
50,Harmonics,C,230.44,325.9,9.5,29.0,16.79,12.48,1.87,25.89,4.0
51,Normal,C,231.43,327.29,2.6,21.0,96.28,7.6,2.58,22.14,0.0
52,Harmonics,B,239.08,338.11,7.48,145.0,41.8,31.26,1.31,39.49,4.0
53,Swell,A,264.01,373.36,3.84,221.0,64.25,17.19,1.53,21.52,2.0
54,Sag,A,168.76,238.67,4.68,19.0,93.95,43.97,1.18,20.53,1.0
55,Normal,C,221.35,313.03,1.95,186.0,43.91,38.73,2.57,36.58,0.0
56,Normal,C,237.64,336.07,1.94,15.0,72.25,29.05,4.0,38.26,0.0
57,Harmonics,C,236.19,334.02,12.77,154.0,31.7,14.23,2.01,25.49,4.0
58,Transient,B,234.06,414.23,3.31,104.0,20.22,35.22,3.08,35.45,3.0
59,Swell,A,279.37,395.09,2.93,231.0,81.26,31.55,2.92,28.41,2.0
60,Harmonics,C,237.45,335.8,12.63,112.0,22.27,5.65,2.4,31.8,4.0
61,Swell,A,272.51,385.39,3.05,175.0,50.58,45.97,2.19,30.47,2.0
62,Normal,A,229.93,325.17,2.4,43.0,65.87,20.63,1.84,31.59,0.0
63,Swell,A,273.67,387.02,2.56,204.0,88.69,28.19,4.89,32.04,2.0
64,Swell,A,261.85,370.3,2.94,10.0,58.1,21.02,4.58,22.57,2.0
65,Sag,A,148.98,210.69,3.04,56.0,66.51,8.68,4.49,38.42,1.0
66,Harmonics,C,230.91,326.55,7.67,136.0,93.16,15.63,4.04,30.63,4.0
67,Sag,C,158.51,224.17,2.01,247.0,77.47,6.37,4.47,27.08,1.0
68,Swell,A,261.89,370.38,2.6,37.0,11.81,19.49,1.85,26.55,2.0
69,Transient,A,226.49,376.13,1.73,118.0,53.16,31.29,3.95,31.15,3.0
70,Normal,A,228.04,322.5,1.0,15.0,90.97,32.34,1.98,29.96,0.0
71,Harmonics,B,235.34,332.82,8.15,104.0,15.01,42.9,1.21,20.36,4.0
72,Harmonics,C,223.71,316.37,11.17,143.0,97.76,27.08,3.89,36.42,4.0
73,Sag,C,149.15,210.93,5.04,182.0,79.25,13.42,2.29,28.51,1.0
74,Normal,A,238.1,336.72,2.11,99.0,79.1,8.93,3.02,38.64,0.0
75,Harmonics,B,238.54,337.35,8.04,19.0,59.37,29.7,1.81,33.69,4.0
76,Transient,A,230.24,416.71,3.31,274.0,63.61,26.22,2.65,26.98,3.0
77,Normal,B,232.26,328.46,2.32,146.0,28.45,22.07,4.71,34.43,0.0
78,Transient,B,229.4,402.27,4.11,222.0,26.78,15.61,3.54,38.16,3.0
79,Normal,C,232.94,329.43,1.86,113.0,43.92,25.82,2.21,34.95,0.0
80,Normal,C,234.74,331.97,2.16,113.0,30.61,29.43,2.73,26.66,0.0
81,Swell,C,267.81,378.74,2.63,120.0,65.81,29.01,4.58,35.77,2.0
82,Normal,C,228.0,322.44,1.45,298.0,13.02,30.65,4.05,37.54,0.0
83,Normal,C,225.91,319.49,2.04,237.0,51.13,32.18,3.01,30.8,0.0
84,Harmonics,B,225.26,318.57,12.27,104.0,63.86,30.45,3.86,31.98,4.0
85,Transient,C,225.39,364.43,7.24,227.0,62.76,27.76,3.45,20.36,3.0
86,Transient,A,225.62,404.09,4.1,60.0,76.28,47.05,4.7,29.02,3.0
87,Harmonics,C,236.51,334.47,10.17,158.0,44.14,38.49,1.82,35.76,4.0
88,Sag,A,160.94,227.61,1.99,99.0,92.79,20.59,2.39,34.75,1.0
89,Normal,C,221.73,313.57,1.78,188.0,32.34,30.99,1.66,20.68,0.0
90,Normal,B,230.41,325.85,2.54,163.0,11.18,34.86,1.71,39.22,0.0
91,Normal,C,220.78,312.22,2.55,198.0,26.6,18.48,2.24,27.95,0.0
92,Swell,B,271.76,384.33,3.7,294.0,66.25,22.0,4.35,31.75,2.0
93,Normal,B,229.28,324.25,1.87,122.0,46.07,30.18,1.62,23.64,0.0
94,Harmonics,B,237.52,335.9,10.33,171.0,46.79,6.14,1.62,34.32,4.0
95,Harmonics,C,229.08,323.97,13.67,264.0,11.77,9.68,4.2,23.57,4.0
96,Normal,C,219.13,309.89,2.86,105.0,98.99,32.14,4.23,39.25,0.0
97,Transient,C,232.2,378.38,5.92,16.0,66.99,38.12,4.39,22.46,3.0
98,Swell,B,253.3,358.22,5.26,206.0,40.76,16.67,2.52,31.81,2.0
99,Transient,A,227.62,420.31,4.06,289.0,20.28,30.46,4.94,29.42,3.0
100,Normal,A,236.26,334.12,3.14,49.0,72.9,23.11,1.87,32.9,0.0
101,Transient,B,216.08,422.06,6.73,155.0,57.67,41.68,2.99,21.34,3.0
102,Harmonics,C,235.15,332.55,11.42,126.0,10.99,11.16,4.6,37.48,4.0
103,Sag,C,166.65,235.69,4.01,182.0,85.43,23.2,4.08,28.44,1.0
104,Sag,C,155.18,219.45,2.27,190.0,64.28,16.04,2.56,25.77,1.0
105,Transient,C,225.12,421.07,3.58,161.0,94.31,37.97,1.86,20.62,3.0
106,Transient,A,243.16,405.67,4.58,210.0,79.38,9.8,1.3,34.56,3.0
107,Normal,A,233.84,330.7,2.8,48.0,16.83,8.5,1.01,39.35,0.0
108,Sag,C,146.92,207.78,2.34,26.0,95.52,25.07,1.74,30.84,1.0
109,Swell,C,278.17,393.39,4.12,207.0,98.25,45.65,3.59,33.86,2.0
110,Normal,C,232.15,328.31,2.1,291.0,61.12,46.2,1.14,33.95,0.0
111,Normal,C,229.04,323.91,1.92,224.0,81.58,38.53,1.22,29.1,0.0
112,Swell,A,255.95,361.97,4.0,107.0,89.65,28.86,2.76,28.09,2.0
113,Normal,A,240.21,339.71,2.24,219.0,56.82,24.21,4.51,28.35,0.0
114,Swell,C,270.82,383.0,4.57,48.0,10.85,7.37,1.35,20.75,2.0
115,Transient,A,234.6,406.28,2.48,74.0,31.49,9.97,2.42,25.74,3.0
116,Transient,A,221.21,413.34,7.42,82.0,19.85,22.62,1.5,39.13,3.0
117,Harmonics,B,234.92,332.23,9.36,20.0,91.34,49.51,3.97,21.3,4.0
118,Transient,A,227.62,411.95,4.81,250.0,96.15,42.18,4.2,32.6,3.0
119,Normal,A,227.49,321.73,3.25,70.0,33.42,28.19,2.96,39.93,0.0
120,Swell,A,274.7,388.48,2.95,98.0,63.36,31.1,1.37,37.55,2.0
121,Swell,C,276.33,390.79,3.32,235.0,87.59,41.43,3.62,31.02,2.0
122,Swell,B,,356.92,2.53,260.0,75.11,27.31,1.32,24.4,2.0
123,Harmonics,C,225.73,319.23,12.72,65.0,69.59,29.47,4.46,34.68,
124,Swell,C,270.36,382.35,3.12,68.0,24.44,20.03,1.95,38.6,2.0
125,Transient,C,232.73,427.64,5.97,,89.28,44.23,1.12,36.52,3.0
126,Sag,C,144.58,204.47,3.64,91.0,83.62,42.45,3.03,20.13,1.0
127,Harmonics,A,230.96,326.62,10.14,232.0,43.9,5.41,4.27,22.57,4.0
128,Swell,B,272.49,385.36,5.08,69.0,26.15,38.92,4.16,23.48,2.0
129,Transient,B,229.07,391.91,4.46,202.0,15.21,8.36,4.41,39.8,3.0
130,,A,230.87,326.5,16.06,16.0,15.91,41.97,2.49,36.38,4.0
131,Swell,B,262.6,,2.94,235.0,99.74,24.18,2.81,23.27,2.0
132,Harmonics,B,239.41,338.57,6.94,184.0,71.24,34.45,2.09,39.02,4.0
133,Transient,B,233.54,363.06,4.15,24.0,77.13,14.02,4.47,34.3,3.0
134,Sag,B,149.18,210.97,4.12,154.0,18.2,11.91,2.81,30.61,1.0
135,Swell,B,263.5,372.65,4.44,55.0,51.59,5.06,3.39,32.15,2.0
136,Transient,B,223.21,393.68,3.89,126.0,63.12,24.5,4.94,22.99,3.0
137,Harmonics,B,229.93,325.17,9.48,104.0,,34.56,4.03,39.05,4.0
138,Normal,A,226.56,320.4,1.99,85.0,98.8,,3.0,32.36,0.0
139,Transient,B,227.14,423.67,4.01,11.0,58.08,44.71,1.33,36.49,3.0
140,Sag,C,139.98,197.97,2.72,99.0,72.05,41.03,1.8,23.35,1.0
141,Normal,A,231.05,,,232.0,58.72,36.91,4.48,34.28,0.0
142,Transient,B,235.25,389.3,6.98,12.0,13.67,12.38,2.75,34.5,3.0
143,Transient,A,230.99,386.97,4.27,252.0,29.73,48.91,2.35,23.64,3.0
144,Harmonics,B,229.88,325.1,16.43,220.0,30.56,49.84,4.9,33.01,4.0
145,Sag,B,136.3,192.76,2.53,216.0,33.19,25.82,4.47,34.54,1.0
146,Harmonics,B,231.92,327.98,13.09,29.0,55.44,29.45,3.06,31.76,4.0
147,Sag,B,,210.64,4.78,271.0,68.95,49.65,2.14,27.18,1.0
148,Swell,C,284.77,402.72,4.88,234.0,21.84,37.21,4.64,23.59,2.0
149,Transient,A,,353.51,3.94,120.0,63.36,31.07,3.65,21.91,3.0
150,Normal,B,229.29,,,172.0,69.11,19.63,4.09,22.62,0.0
151,Harmonics,B,229.57,324.66,7.7,204.0,49.78,19.89,2.8,33.39,4.0
152,Normal,C,226.2,319.89,1.22,10.0,32.73,21.17,2.52,32.11,0.0
153,Harmonics,C,227.86,322.24,14.48,216.0,60.23,29.3,1.14,39.73,4.0
154,Normal,A,230.89,326.53,2.36,10.0,20.99,25.35,4.74,26.32,0.0
155,Normal,A,230.26,325.64,2.86,251.0,96.86,5.22,4.81,32.78,0.0
156,Normal,C,233.86,330.73,1.23,187.0,40.84,28.95,1.5,,0.0
157,Transient,C,232.52,381.23,5.97,17.0,,9.23,3.69,28.88,3.0
158,Harmonics,B,229.49,324.54,9.92,154.0,84.78,43.91,4.07,22.26,4.0
159,Normal,C,235.53,333.09,2.59,296.0,69.3,22.72,3.6,22.13,0.0
160,Transient,A,231.71,377.77,6.2,185.0,77.72,9.07,2.15,22.18,3.0
161,Sag,B,146.02,206.5,1.32,28.0,82.71,39.3,4.19,,1.0
162,Swell,C,260.66,368.63,2.03,98.0,39.55,33.36,3.44,31.27,2.0
163,Swell,A,261.01,369.12,2.51,233.0,43.59,15.23,1.29,32.07,
164,Sag,A,128.47,181.68,3.0,291.0,95.63,43.12,4.66,36.28,1.0
165,Normal,A,238.1,336.73,1.31,237.0,64.71,39.42,4.25,34.36,0.0
166,Swell,C,253.55,358.57,4.82,126.0,90.82,15.96,4.71,21.21,2.0
167,Harmonics,B,230.43,325.88,5.81,61.0,70.31,46.83,3.13,31.62,4.0
168,Sag,A,149.05,210.79,4.51,86.0,47.22,10.48,1.72,33.62,1.0
169,Sag,C,157.73,223.07,2.46,250.0,61.06,16.55,4.85,29.67,1.0
170,Normal,C,,328.9,,150.0,64.15,41.86,4.54,24.56,0.0
171,Normal,A,218.62,309.17,1.47,134.0,91.53,39.65,3.23,25.11,0.0
172,,C,232.39,416.06,4.16,211.0,82.86,39.5,1.6,28.48,3.0
173,Harmonics,B,232.62,328.98,7.8,170.0,29.51,9.31,1.09,32.84,4.0
174,Transient,A,232.79,376.2,6.1,,22.76,17.35,3.39,33.52,3.0
175,Sag,A,136.48,193.01,4.68,289.0,21.56,9.68,3.9,31.57,1.0
176,Harmonics,A,227.23,,6.7,205.0,49.82,42.43,3.68,21.4,4.0
177,Harmonics,C,226.44,320.24,11.89,67.0,39.97,35.13,4.98,33.24,4.0
178,Normal,B,222.22,314.26,1.99,45.0,96.55,33.57,4.02,23.41,0.0
179,Sag,A,151.13,213.74,2.89,145.0,81.59,46.72,1.94,27.99,1.0
180,Harmonics,A,225.48,318.88,12.6,130.0,70.44,9.18,2.03,,4.0
181,Normal,B,233.82,330.67,2.08,151.0,20.59,15.23,2.37,27.62,0.0
182,Sag,C,174.66,247.0,,189.0,35.17,47.41,4.49,23.24,1.0
183,Swell,B,277.08,391.85,5.19,21.0,93.75,10.24,4.27,27.61,2.0
184,Sag,C,,238.9,3.27,23.0,17.28,23.13,1.69,33.9,1.0
185,Sag,B,153.22,216.68,3.09,34.0,61.76,26.57,2.25,32.13,1.0
186,Normal,A,232.73,329.13,2.7,34.0,69.97,10.48,2.91,30.12,0.0
187,Transient,C,232.79,404.84,3.55,29.0,49.56,9.75,3.56,24.32,3.0
188,Sag,C,140.33,198.46,3.42,14.0,80.27,25.69,1.23,39.9,1.0
189,Harmonics,C,222.52,314.69,12.65,92.0,25.36,8.36,4.13,25.31,4.0
190,Transient,A,237.61,,3.9,133.0,86.32,37.59,4.17,28.1,3.0
191,Harmonics,B,226.28,320.01,11.14,23.0,25.92,22.42,4.86,24.97,4.0
192,Swell,A,248.26,351.1,4.87,147.0,71.29,13.54,3.48,26.47,2.0
193,Sag,C,146.16,206.7,2.01,200.0,54.94,16.97,1.6,22.54,1.0
194,Sag,C,149.69,211.69,4.17,242.0,65.27,43.68,2.57,39.12,1.0
195,Normal,A,225.69,319.17,2.57,106.0,85.68,6.73,4.61,29.23,0.0
196,Swell,B,258.79,365.99,1.07,209.0,30.43,45.02,2.8,37.65,2.0
197,Harmonics,A,229.51,324.58,10.27,17.0,13.75,8.82,3.87,21.44,4.0
198,Swell,B,287.22,406.19,2.7,237.0,41.47,39.86,3.65,23.7,2.0
199,Swell,B,282.99,400.21,4.74,17.0,33.85,5.94,1.33,39.36,2.0
200,Normal,A,218.98,309.69,1.89,128.0,13.78,48.58,4.19,25.86,0.0
201,Sag,,148.83,210.47,4.46,297.0,65.48,12.05,1.17,22.22,1.0
202,Sag,C,167.99,237.58,2.41,133.0,44.98,12.37,2.1,38.57,1.0
203,Transient,,223.59,404.21,4.75,131.0,83.44,43.76,4.39,38.38,3.0
204,Sag,B,137.59,194.58,3.61,247.0,79.88,34.53,1.71,30.9,1.0
205,Swell,A,272.95,386.0,1.78,267.0,21.86,37.67,4.27,24.27,2.0
206,Swell,B,265.76,375.84,2.56,180.0,78.24,38.45,3.45,22.12,2.0
207,Harmonics,A,230.81,326.42,7.43,137.0,49.04,12.24,3.23,36.24,4.0
208,Transient,B,228.95,382.99,4.13,240.0,65.35,35.95,2.5,30.77,3.0
209,Transient,C,232.94,371.0,3.34,232.0,37.5,44.45,4.99,27.37,3.0
210,Harmonics,B,236.05,333.83,11.86,236.0,22.4,34.84,1.01,23.57,4.0
211,Sag,A,134.74,190.56,4.26,29.0,46.21,44.34,3.04,34.47,1.0
212,Harmonics,B,237.71,336.17,16.02,33.0,70.88,41.22,2.08,36.5,4.0
213,Normal,A,225.04,318.25,2.19,85.0,80.64,,4.15,30.35,0.0
214,Harmonics,C,227.84,322.22,7.34,155.0,43.43,7.81,4.21,35.33,4.0
215,Normal,A,230.95,326.61,2.29,207.0,67.26,40.35,1.47,28.2,0.0
216,Transient,A,235.99,361.25,3.12,147.0,40.11,6.18,1.1,36.63,3.0
217,Harmonics,C,231.74,327.73,11.29,254.0,15.05,43.37,1.9,27.54,4.0
218,Harmonics,A,230.99,326.66,1.86,79.0,66.81,7.24,4.62,38.19,4.0
219,Normal,A,226.0,319.62,1.77,40.0,93.04,26.24,1.05,25.65,0.0
220,Sag,C,146.54,207.24,2.02,229.0,80.84,48.87,2.48,28.58,1.0
221,Normal,,225.54,318.96,1.74,259.0,60.58,,2.26,35.44,0.0
222,Sag,C,149.86,211.93,3.35,208.0,45.41,42.25,4.15,32.49,1.0
223,Harmonics,A,238.45,337.22,6.67,170.0,23.61,15.14,2.0,37.01,4.0
224,Normal,B,232.84,329.28,1.49,37.0,75.05,8.05,3.83,30.87,0.0
225,Sag,B,150.62,213.0,1.73,31.0,86.5,35.11,2.85,28.24,1.0
226,Harmonics,C,229.71,324.86,7.47,68.0,51.33,7.34,4.15,24.03,4.0
227,Harmonics,B,235.02,332.36,8.55,223.0,11.62,10.68,3.64,23.23,4.0
228,Swell,B,260.47,368.36,,75.0,15.87,25.88,4.64,30.77,2.0
229,Transient,C,233.19,389.63,6.81,98.0,45.76,9.2,,23.91,
230,Transient,A,220.85,,5.54,81.0,81.81,22.82,4.66,30.66,3.0
231,Sag,B,163.68,231.48,5.02,272.0,65.21,21.34,4.59,23.38,1.0
232,Normal,A,220.85,312.33,1.79,185.0,23.69,24.81,3.46,21.67,0.0
233,Normal,A,230.45,325.9,2.01,72.0,53.68,,3.9,26.46,0.0
234,Transient,C,237.06,396.26,6.48,137.0,11.13,30.19,3.11,34.39,3.0
235,Sag,C,144.76,204.72,1.74,198.0,40.32,18.34,4.67,22.21,1.0
236,Transient,A,228.48,360.89,4.75,225.0,54.48,42.27,2.34,23.48,3.0
237,Harmonics,B,236.53,334.5,8.2,50.0,76.57,13.61,3.46,28.71,4.0
238,Normal,C,238.21,336.87,1.95,298.0,21.36,35.43,,33.73,0.0
239,Transient,A,236.13,381.54,5.76,256.0,35.13,33.93,3.78,30.25,
240,Harmonics,A,232.57,328.9,10.54,48.0,82.67,7.66,4.6,33.02,4.0
241,,B,,359.76,2.07,109.0,44.35,10.8,2.65,36.05,2.0
242,Swell,B,264.65,374.27,3.41,163.0,96.96,10.74,3.83,39.46,2.0
243,Swell,A,277.39,392.29,4.12,215.0,75.4,18.71,4.32,,2.0
244,Transient,B,231.7,387.08,3.63,274.0,11.12,26.09,2.21,31.97,3.0
245,Swell,A,270.92,383.14,4.25,205.0,15.8,44.48,4.51,26.61,2.0
246,Normal,B,225.57,319.0,2.62,277.0,62.45,49.79,4.42,30.43,0.0
247,Harmonics,A,230.57,326.08,7.58,210.0,91.87,35.11,4.32,37.58,4.0
248,Normal,C,226.42,320.21,1.44,35.0,24.83,12.68,4.79,28.9,0.0
249,Normal,C,229.45,324.49,1.49,37.0,31.08,40.4,4.88,25.25,0.0
250,Sag,C,157.83,223.2,3.35,271.0,90.23,5.13,1.16,32.08,1.0
251,Swell,A,269.8,381.56,3.07,102.0,52.57,33.01,2.88,28.95,2.0
252,Transient,B,226.54,401.65,2.81,58.0,10.69,14.86,1.15,22.16,3.0
253,Sag,B,126.16,178.41,1.56,115.0,36.41,46.93,2.59,21.74,1.0
254,Normal,C,230.66,326.2,2.67,192.0,88.68,27.21,3.81,39.86,0.0
255,Harmonics,A,237.4,335.74,7.87,118.0,64.71,18.92,4.3,39.1,4.0
256,Sag,B,156.88,221.86,3.42,167.0,33.18,7.68,3.42,33.73,1.0
257,Sag,B,160.76,227.35,3.59,156.0,63.67,29.73,4.6,28.08,1.0
258,Swell,C,275.12,389.08,3.33,294.0,71.08,21.29,3.37,20.2,2.0
259,Sag,B,146.99,207.87,2.68,164.0,76.69,28.85,4.32,39.83,1.0
260,Sag,C,149.67,211.66,2.79,244.0,53.74,30.97,1.17,22.46,1.0
261,Normal,A,229.13,324.03,1.26,293.0,44.87,43.33,2.62,21.55,0.0
262,Normal,B,235.0,332.34,1.66,297.0,84.02,43.59,4.67,28.62,0.0
263,Swell,A,251.64,355.88,4.67,127.0,73.5,35.98,2.5,23.34,2.0
264,,A,227.98,322.41,10.39,202.0,95.2,20.29,3.07,27.58,4.0
265,Swell,B,264.38,373.89,3.29,73.0,64.52,21.41,1.87,39.76,2.0
266,Normal,,230.14,325.47,2.21,269.0,18.94,14.4,4.7,28.28,0.0
267,Swell,A,251.96,356.33,3.15,131.0,20.45,48.02,2.26,37.77,2.0
268,Transient,B,230.07,403.12,5.3,118.0,97.37,39.81,4.92,29.56,3.0
269,Harmonics,C,226.11,319.77,14.72,51.0,84.41,36.91,1.71,30.15,4.0
270,Transient,C,231.25,412.7,4.24,,62.47,49.99,1.6,36.34,3.0
271,Transient,A,231.46,417.99,7.94,17.0,13.55,26.4,3.17,24.55,3.0
272,Swell,A,281.27,397.78,3.75,56.0,88.3,10.88,4.16,22.5,2.0
273,Normal,B,,328.58,1.82,21.0,97.26,47.71,3.05,21.87,0.0
274,Transient,B,239.84,405.11,6.57,237.0,35.72,14.15,4.05,27.73,3.0
275,Swell,A,267.78,378.7,4.17,188.0,90.5,25.52,2.77,32.04,2.0
276,Transient,C,229.47,427.81,3.47,22.0,97.44,14.93,3.94,35.25,3.0
277,Harmonics,A,226.03,319.65,16.72,213.0,82.4,17.54,1.84,39.15,4.0
278,Swell,C,274.6,388.34,2.96,76.0,76.41,42.54,3.96,22.86,2.0
279,Harmonics,A,234.28,331.33,11.4,173.0,73.0,9.7,2.6,34.46,4.0
280,Transient,C,232.43,386.5,4.78,81.0,19.99,41.37,4.79,21.45,3.0
281,Harmonics,B,226.42,320.21,11.01,243.0,31.8,26.52,1.58,34.2,4.0
282,Transient,C,228.6,420.55,3.82,36.0,11.98,31.25,4.37,30.98,3.0
283,Harmonics,C,227.65,321.94,14.44,192.0,55.28,25.22,3.34,32.5,4.0
284,Transient,,227.61,408.51,8.33,62.0,82.36,29.86,3.08,22.86,3.0
285,Sag,B,138.77,196.25,,257.0,66.66,7.44,3.99,26.35,1.0
286,Normal,B,226.87,320.84,2.01,218.0,15.64,42.77,1.02,24.94,0.0
287,,A,229.15,324.07,2.07,171.0,38.2,40.5,4.57,28.68,0.0
288,Normal,C,233.02,329.53,1.92,195.0,13.81,30.41,4.72,36.88,0.0
289,Sag,C,145.86,206.27,2.39,,26.45,17.53,1.52,33.52,1.0
290,Normal,C,226.91,320.9,1.84,220.0,67.97,7.17,2.44,39.14,0.0
291,Transient,C,229.63,422.23,5.43,245.0,10.26,43.65,1.74,31.04,3.0
292,Transient,A,225.83,392.07,5.72,175.0,52.51,44.61,1.86,33.56,3.0
293,Harmonics,C,229.51,324.57,8.7,283.0,76.34,48.86,1.21,,4.0
294,Normal,C,228.36,322.95,2.3,22.0,15.23,10.02,3.06,25.35,0.0
295,Harmonics,B,224.59,317.62,12.37,289.0,85.44,36.92,4.8,20.63,4.0
296,Swell,B,277.79,392.85,1.09,33.0,75.24,44.49,1.17,27.95,2.0
297,Normal,C,,332.72,1.64,113.0,21.84,43.57,3.3,21.53,0.0
298,Normal,A,228.23,322.77,1.71,162.0,79.58,28.31,2.39,27.43,0.0
299,Swell,C,275.91,390.2,5.49,169.0,90.87,40.24,4.12,29.16,2.0
300,Swell,A,266.04,376.24,3.32,166.0,32.19,26.78,3.99,29.48,2.0
301,Sag,C,151.52,214.28,3.03,142.0,57.77,34.29,3.58,31.23,1.0
302,Normal,C,233.31,329.95,1.57,35.0,86.25,19.18,,39.63,0.0
303,Transient,B,237.9,379.7,3.78,225.0,75.25,29.25,1.24,33.8,3.0
304,Sag,B,137.42,194.35,2.16,170.0,96.21,28.83,1.97,30.01,1.0
305,Harmonics,B,240.45,340.04,10.32,95.0,78.48,29.61,1.72,29.17,4.0
306,Swell,A,274.12,387.66,3.3,244.0,70.69,11.16,4.98,30.54,2.0
307,Transient,C,223.84,384.77,5.46,261.0,,37.03,4.92,31.39,3.0
308,Swell,C,278.23,393.48,3.42,163.0,11.28,42.32,3.93,27.1,2.0
309,Normal,B,230.13,325.46,2.29,256.0,45.35,43.44,4.09,26.2,0.0
310,Normal,B,237.43,335.78,1.89,102.0,54.9,5.54,1.04,27.14,0.0
311,Transient,B,233.14,,3.96,64.0,75.6,9.29,2.71,20.58,3.0
312,Swell,C,259.16,366.5,7.0,250.0,67.19,9.08,1.13,21.15,2.0
313,Swell,A,255.37,361.14,4.28,125.0,44.77,30.82,2.66,36.95,2.0
314,Normal,C,222.8,315.09,2.01,50.0,13.5,6.62,1.7,37.34,
